"matchId","player","season","month_year","totalpointsWon","totalpointsPlayed","completedmatch","won_match","winners","forced_errors","unforced_errors","aces","double_faults","break_pointW","break_pointT","firstservesin","totalfirstserves","firstserve_won","firstservein_total","second_serves_in","second_serves_inorout","second_serve_won","second_serve_denom","firstserve_returns_in","firstserve_returns","sec_serve_returns_in","sec_serve_returns","short_rallies_won","short_rallies","med_rallies_won","med_rallies","long_rallies_won","long","service_games_won","service_games","Long","Long_unforced","Long_forced","Long_fault","Net","Net_unforced","Net_forced","Net_fault","WinnersAllowed","winner_forehand","winner_backhand","winner_volley","forcederror_forehand","forcederror_backhand","forcederror_volley","unforcederror_forehand","unforcederror_backhand","unforcederror_volley","Hometown"
"65e2a0253600004ce521e196","Anna Zyryanova",6,"Mar, 2024",22,48,0,0,6,7,14,1,0,1,3,18,25,8,18,7,7,3,7,10,14,8,8,6,18,11,17,5,13,1,4,12,7,5,0,8,7,1,0,6,1,1,4,2,5,0,5,8,1,"MOSCOW, RUSSIA"
"65e516263600004a0721e1ec","Anna Zyryanova",6,"Mar, 2024",51,92,0,0,12,2,18,4,0,3,4,28,48,19,28,20,20,11,20,17,22,14,17,36,68,12,21,3,3,7,9,11,11,0,0,11,7,4,0,19,5,4,3,1,1,0,7,9,2,"MOSCOW, RUSSIA"
"65e51805360000480721e1f4","Anna Zyryanova",6,"Mar, 2024",51,82,1,1,19,2,26,1,1,3,6,30,41,21,30,10,11,6,11,24,25,12,13,28,43,15,24,8,15,7,7,20,19,1,0,10,7,2,1,1,8,6,5,1,0,1,7,15,4,"MOSCOW, RUSSIA"
"66005a8d36000060be21e86f","Anna Zyryanova",6,"Mar, 2024",99,188,1,1,26,3,62,0,1,7,21,65,93,36,65,27,28,16,28,50,58,26,32,56,103,29,52,14,33,10,16,41,39,2,0,27,23,3,1,21,9,7,10,2,0,1,29,25,8,"MOSCOW, RUSSIA"
"66009a4e36000060be21e89c","Anna Zyryanova",6,"Mar, 2024",43,96,1,0,10,1,41,0,1,3,7,29,47,13,29,17,18,5,18,25,36,6,7,28,67,11,23,4,6,1,8,25,25,0,0,20,16,3,1,8,4,3,3,1,0,0,22,14,5,"MOSCOW, RUSSIA"
"66107b4e360000aca821eb42","Anna Zyryanova",6,"Apr, 2024",54,81,1,1,6,7,13,1,1,5,9,29,41,21,29,11,12,8,12,22,25,11,11,28,37,14,22,12,22,7,8,13,11,2,0,5,2,2,1,9,2,3,1,3,4,0,9,4,0,"MOSCOW, RUSSIA"
"661bd1cc380000e447c4603f","Anna Zyryanova",6,"Apr, 2024",70,150,1,0,22,8,52,1,3,4,14,45,75,25,45,27,30,10,30,47,53,14,18,22,56,19,43,29,51,4,11,34,27,6,1,30,25,3,2,16,7,7,8,4,3,1,22,25,5,"MOSCOW, RUSSIA"
"6623ef36380000cec0c46255","Anna Zyryanova",6,"Apr, 2024",36,65,0,0,4,6,22,1,1,1,6,22,34,16,22,11,12,7,12,20,23,5,7,23,37,10,20,3,8,6,6,14,14,0,0,10,8,1,1,5,2,2,0,3,3,0,8,13,1,"MOSCOW, RUSSIA"
"662a987d380000e115c463bb","Anna Zyryanova",6,"Apr, 2024",47,64,1,1,13,4,10,2,1,6,8,18,30,16,18,11,12,7,12,23,25,5,6,32,42,9,14,6,8,6,6,8,5,2,1,5,5,0,0,4,4,5,4,1,3,0,4,6,0,"MOSCOW, RUSSIA"
"63def0b54100004891d05f4f","Diana Shnaider",5,"Feb, 2023",53,89,1,1,27,14,13,3,1,4,8,32,45,24,32,12,13,7,13,22,31,8,11,33,57,14,21,6,11,7,8,12,4,7,1,14,9,5,0,10,19,1,7,13,1,0,8,3,2,"MOSCOW, RUSSIA"
